strategy,description,cooperates_first,memory_depth,source
TIT_FOR_TAT,Cooperate first then copy opponent's last move,TRUE,1,Axelrod 1984
ALWAYS_COOPERATE,Always cooperate,TRUE,0,Axelrod 1984
ALWAYS_DEFECT,Always defect,FALSE,0,Axelrod 1984
RANDOM,Cooperate with probability 0.5,TRUE,0,Axelrod 1984
GRUDGER,Cooperate until opponent defects then always defect,TRUE,Inf,Axelrod 1984
PAVLOV,Cooperate if both chose same action last round,TRUE,1,Nowak & Sigmund 1993
GENEROUS_TFT,TFT but occasionally forgive defection,TRUE,1,Nowak & Sigmund 1992
